max_depth,learning_rate,oof_logloss
2,0.03,0.24924143231159968
2,0.05,0.24961513617088324
3,0.03,0.24966816597294264
4,0.03,0.25190442332626883
3,0.05,0.2522357765357968
2,0.1,0.2528416826273848
4,0.05,0.256287500179247
3,0.1,0.25971270097713045
4,0.1,0.2681306967472119
