model,log_loss_before,log_loss_after,brier_before,brier_after
logistic (baseline),0.26535106373353834,0.27061881977688407,0.07393506126871047,0.07437384097697144
logistic (full),0.24799184407828798,0.2519486074527728,0.06942580044908032,0.0694288076495197
XGBoost,0.24924143231159968,0.258605903111101,0.06925472772670577,0.06989872224938803
