ix,iy,n,obs,exp,var,z,qualifies,x_lo,y_lo
0,5,1,0,0.045154131948947906,0.04311523631688491,-0.21746136628271995,False,60.0,25.0
0,7,3,0,0.17064242623746395,0.15960763252409071,-0.427130111957395,False,60.0,35.0
0,8,2,0,0.06511109694838524,0.06265170116757972,-0.26012888428277814,False,60.0,40.0
0,15,1,0,0.3053528964519501,0.21211250508035473,-0.6630082116259759,False,60.0,75.0
1,9,1,0,0.3610088527202606,0.2306814609778618,-0.7516428061277024,False,65.0,45.0
2,6,1,0,0.2309975028038025,0.17763765650220975,-0.5480747159411321,False,70.0,30.0
2,7,2,0,0.057294403202831745,0.055207403221816526,-0.24384482327262305,False,70.0,35.0
2,8,1,0,0.0131220743060112,0.01294988547191872,-0.11531067885501026,False,70.0,40.0
2,9,1,0,0.06954288482666016,0.06470667199664604,-0.273387195944837,False,70.0,45.0
3,4,1,0,0.020875291898846626,0.020439514086984575,-0.14601493297201218,False,75.0,20.0
3,5,1,0,0.01873917691409588,0.018388020162678095,-0.1381920392784744,False,75.0,25.0
3,6,2,0,0.05717648006975651,0.05525511473866011,-0.2432378595431942,False,75.0,30.0
3,7,1,0,0.03556748479604721,0.03430243882133016,-0.19203953924865944,False,75.0,35.0
3,8,5,0,0.09229025058448315,0.08917672851763875,-0.30905093166358844,False,75.0,40.0
3,9,3,0,0.04818146675825119,0.04738059193361262,-0.22135012713240282,False,75.0,45.0
3,10,3,0,0.05025769770145416,0.04917747770477905,-0.22663107804640287,False,75.0,50.0
3,11,1,0,0.08567363768815994,0.07833366549343784,-0.3061068038654565,False,75.0,55.0
4,3,1,0,0.01418397668749094,0.013982791492819654,-0.11995022528582178,False,80.0,15.0
4,4,2,0,0.02215994242578745,0.0219139963769431,-0.14969518624944644,False,80.0,20.0
4,5,9,0,0.18459993228316307,0.179534388666766,-0.43567005826898875,False,80.0,25.0
4,6,12,0,0.33475715294480324,0.3206426375448004,-0.5911793143159954,False,80.0,30.0
4,7,6,0,0.12044559372588992,0.11549529174980251,-0.35441229252494694,False,80.0,35.0
4,8,26,0,0.4701308310031891,0.4544277702149619,-0.697406998632198,True,80.0,40.0
4,9,17,1,0.6376872360706329,0.5788161365440472,0.47622623751272186,False,80.0,45.0
4,10,10,0,0.14968452043831348,0.14737346587596506,-0.38991257491661757,False,80.0,50.0
4,11,1,0,0.020285960286855698,0.01987444010209581,-0.14389580052642645,False,80.0,55.0
5,3,2,0,0.08043322432786226,0.07581315239059669,-0.2921212840108522,False,85.0,15.0
5,4,13,0,0.25313362339511514,0.24594176232504866,-0.5104270660965999,False,85.0,20.0
5,5,20,0,0.3988768090493977,0.38305322608091674,-0.6444796738032804,True,85.0,25.0
5,6,25,0,0.34236068511381745,0.3361953677130092,-0.590456658157924,True,85.0,30.0
5,7,51,1,0.7671728148125112,0.7506052292100457,0.26873726618963645,True,85.0,35.0
5,8,57,1,1.0365039240568876,1.0052751735774181,-0.0364080210514518,True,85.0,40.0
5,9,25,0,0.4899704344570637,0.472356293505589,-0.7129105173748447,True,85.0,45.0
5,10,26,0,0.5404195296578109,0.5205493459200964,-0.7490315009573397,True,85.0,50.0
5,11,13,0,0.3000125801190734,0.289694732751584,-0.5574028263108864,False,85.0,55.0
5,12,1,0,0.016819480806589127,0.016536585871985907,-0.1307945537311927,False,85.0,60.0
6,1,2,0,0.023340930230915546,0.02306800383811493,-0.15367851417960685,False,90.0,5.0
6,2,2,1,0.0852117221802473,0.08047778060261279,3.22465008686967,False,90.0,10.0
6,3,10,0,0.15430873353034258,0.1517579453894425,-0.39610907083863034,False,90.0,15.0
6,4,45,0,0.8417501440271735,0.8173815665739232,-0.9310452305381818,True,90.0,20.0
6,5,63,0,1.0999252134934068,1.066409875503597,-1.0651262263581265,True,90.0,25.0
6,6,81,2,1.9781268243677914,1.9027196105451587,0.015857124756004086,True,90.0,30.0
6,7,88,3,2.428509708493948,2.330716655861347,0.3743381736163577,True,90.0,35.0
6,8,95,2,2.7186752515845,2.6045608651370853,-0.44531306217850736,True,90.0,40.0
6,9,75,2,1.7720340355299413,1.7038915309977978,0.17464213786826863,True,90.0,45.0
6,10,62,0,0.9834166010841727,0.9559486510363875,-1.005819967591889,True,90.0,50.0
6,11,41,2,0.8111997824162245,0.783851961570218,1.342739766539144,True,90.0,55.0
6,12,7,1,0.1949703162536025,0.1874293015978787,1.8594870188814563,False,90.0,60.0
6,14,1,0,0.09460041671991348,0.0856511778763322,-0.32324095382023,False,90.0,70.0
7,2,3,1,0.09298647567629814,0.08879282888744428,3.0438610022083252,False,95.0,10.0
7,3,15,0,0.4913041712716222,0.4660289411070587,-0.7196875792376458,False,95.0,15.0
7,4,73,6,1.2824874189682305,1.252193680374748,4.215773923711228,True,95.0,20.0
7,5,82,3,2.4926583087071776,2.3365983196550264,0.3319009705128845,True,95.0,25.0
7,6,152,3,5.635290185920894,5.386613827641518,-1.1354565603192346,True,95.0,30.0
7,7,139,6,6.465686775743961,6.02674111452832,-0.18969358189064767,True,95.0,35.0
7,8,109,2,4.781159736216068,4.414601256774346,-1.3236714203925493,True,95.0,40.0
7,9,136,5,5.301873207092285,4.998612490590213,-0.13502053785539928,True,95.0,45.0
7,10,117,4,3.6276818001642823,3.411073588355413,0.20158987788443086,True,95.0,50.0
7,11,54,0,1.2878580274991691,1.238959341125468,-1.1570162596477405,True,95.0,55.0
7,12,19,0,0.3309360318817198,0.3232952758566299,-0.5820286671872568,False,95.0,60.0
7,13,1,0,0.01434155274182558,0.014135872606779017,-0.12062431582907396,False,95.0,65.0
8,2,3,0,0.07393866498023272,0.07136817601062964,-0.2767701862934228,False,100.0,10.0
8,3,20,0,0.5309244971722364,0.5102444210405688,-0.7432649134127047,True,100.0,15.0
8,4,72,2,1.877071863040328,1.8194356474040803,0.09113452828771704,True,100.0,20.0
8,5,108,7,3.8136126715689898,3.642092705337818,1.669640874950547,True,100.0,25.0
8,6,135,4,8.843730982393026,7.7192454169353715,-1.7433821313421216,True,100.0,30.0
8,7,133,18,13.567777371034026,10.605670593487911,1.360982370833539,True,100.0,35.0
8,8,131,6,9.951461516320705,8.761259891511093,-1.3349791258878578,True,100.0,40.0
8,9,116,16,9.94313682988286,8.247900402266747,2.1089974697163836,True,100.0,45.0
8,10,132,4,5.484525790903717,5.079740395922867,-0.6586686422183641,True,100.0,50.0
8,11,90,3,2.519714123569429,2.4226385457121395,0.3085712816023451,True,100.0,55.0
8,12,17,2,0.4259262513369322,0.4110989586756919,2.4550022119519084,False,100.0,60.0
8,13,2,0,0.028555402532219887,0.028145718150595148,-0.17020884292953423,False,100.0,65.0
8,14,1,0,0.06033405661582947,0.05669385822810735,-0.2533929454549247,False,100.0,70.0
9,1,1,0,0.015052665024995804,0.014826082300641072,-0.1236232605440494,False,105.0,5.0
9,2,2,0,0.13449427857995033,0.12089106561505635,-0.3868180282582838,False,105.0,10.0
9,3,11,1,0.3296643905341625,0.31862010568246235,1.187560385064792,False,105.0,15.0
9,4,66,4,1.8485761070623994,1.7750324394870525,1.6148152429057459,True,105.0,20.0
9,5,138,12,9.523617527447641,7.976128291481822,0.8768426301957774,True,105.0,25.0
9,6,197,20,22.127183719538152,17.50722557247475,-0.5083892242351662,True,105.0,30.0
9,7,229,28,26.28483757469803,20.675535301307598,0.37720450646612663,True,105.0,35.0
9,8,270,29,31.323765294626355,24.995757464065413,-0.4647924985761301,True,105.0,40.0
9,9,171,19,18.063251460902393,14.631117776270546,0.24489745466986054,True,105.0,45.0
9,10,141,10,10.362585798837245,8.845542848862996,-0.1219125864127896,True,105.0,50.0
9,11,65,2,2.039191751740873,1.9357554794011151,-0.02816887008273457,True,105.0,55.0
9,12,19,0,0.6370994281023741,0.6020973107040957,-0.821058065255632,False,105.0,60.0
9,13,2,0,0.0287636024877429,0.02834867245773147,-0.17083502483308252,False,105.0,65.0
10,1,1,0,0.049363795667886734,0.04692701134514586,-0.2278752184218393,False,110.0,5.0
10,2,1,0,0.01455990131944418,0.014347910593012228,-0.12155255741444647,False,110.0,10.0
10,3,4,0,0.19394077360630035,0.17825426763996238,-0.45935574838484966,False,110.0,15.0
10,4,28,1,1.129617465659976,1.0690876860846725,-0.12535938764419038,True,110.0,20.0
10,5,122,10,10.510449623689055,8.743514962708842,-0.1726274515407405,True,110.0,25.0
10,6,192,27,24.69974074885249,19.574498089738242,0.519913947792394,True,110.0,30.0
10,7,329,67,65.50403094664216,44.19829876598261,0.22501933292394477,True,110.0,35.0
10,8,375,72,67.89287103526294,47.16077507364135,0.5980642917197567,True,110.0,40.0
10,9,182,24,22.902361188083887,17.778066611964157,0.26032578730128736,True,110.0,45.0
10,10,126,9,8.780267281457782,7.515002095430539,0.08015491831136845,True,110.0,50.0
10,11,46,0,1.3873685048893094,1.3362930960768298,-1.2001650316633294,True,110.0,55.0
10,12,6,0,0.18352394178509712,0.17607970979126342,-0.43735900382846477,False,110.0,60.0
10,13,1,0,0.027279341593384743,0.026535179115616172,-0.1674645444317394,False,110.0,65.0
11,0,1,0,0.07282762229442596,0.0675237597253664,-0.28026432729592865,False,115.0,0.0
11,3,2,0,0.17474732547998428,0.15424860917216682,-0.4449384209200464,False,115.0,15.0
11,4,10,1,0.35838467441499233,0.3448750576839845,1.092556325726055,False,115.0,20.0
