model,log_loss,log_loss_lo,log_loss_hi,brier,brier_lo,brier_hi,auc,auc_lo,auc_hi
logit_baseline,0.26535106373353834,0.247983473401218,0.2831357587687683,0.07393506126871047,0.06802467302501447,0.08008785212125258,0.7583338945956225,0.7361362839717268,0.7792818550773204
logit_full,0.24799184407828798,0.23144840226579594,0.2660303023928207,0.06942580044908032,0.06393388264551192,0.07510532030061508,0.7982282480248669,0.7778174819150884,0.8176989688501566
xgboost,0.24924143231159968,0.23204688586072522,0.266866668885137,0.06925472772670577,0.06375761247580718,0.07494379519388429,0.7905619153943021,0.7704818511532696,0.8102747842786308
statsbomb_xg,0.24584055632688176,0.23015737239709624,0.26207955303130537,0.06759851133280609,0.06221793203557999,0.07303662190181481,0.8021400761003632,0.7820389567597716,0.8220150091002424
