model,reliability,resolution,uncertainty,brier_decomposed,brier_raw
logistic (baseline),0.0001262428604823268,0.007865231108214077,0.08284434733405983,0.07510535908632808,0.07393506126871047
logistic (full),7.583912866408681e-05,0.011436001031950953,0.08284434733405983,0.07148418543077296,0.06942580044908032
XGBoost,6.30686824771523e-05,0.010896649335941673,0.08284434733405983,0.0720107666805953,0.06925472772670577
StatsBomb xG,0.00020658612167713804,0.012096701593218687,0.08284434733405983,0.07095423186251829,0.06759851133280609
