bin,n,xg_mean,goals_mean,goals_sum,ci_half
0,25,0.302,0.28,7,0.2074269027874639
1,20,0.5635,0.55,11,0.3250292294548292
2,23,0.7982608695652174,0.6521739130434783,15,0.33004553732897984
3,24,1.0404166666666665,1.0833333333333333,26,0.41641992694341073
4,20,1.3015,1.4,28,0.5185672569686598
5,23,1.5765217391304347,1.6956521739130435,39,0.5321824381243853
6,22,1.987727272727273,2.090909090909091,46,0.6042439439511602
7,23,2.986521739130435,3.869565217391304,89,0.8039392616883019
